rank,courseName,hole,par,yards,avg,+/-,eagle-,birdie,par,bogey,dblBogey,dblBogey+
135,Torrey Pines Golf Course (South Course),7,4,462,4.171,+.171,0,45,161,78,7,1
135,Torrey Pines Golf Course (South Course),5,4,454,4.171,+.171,0,34,147,66,4,1
135,Arnold Palmer's Bay Hill Club & Lodge,18,4,458,4.171,+.171,1,43,130,60,9,3
135,TPC Toronto at Osprey Valley (North Course),9,4,500,4.171,+.171,0,33,308,97,6,0
135,Black Desert Resort,2,4,403,4.171,+.171,0,57,240,69,20,5
140,Oakmont Country Club,6,3,200,3.167,+.167,1,60,263,108,9,3
140,East Lake Golf Club,14,4,530,4.167,+.167,0,12,77,30,1,0
142,Augusta National Golf Club,1,4,445,4.166,+.166,0,25,202,64,5,0
143,Hurstbourne Country Club (Championship Course),14,4,438,4.163,+.163,1,53,278,102,13,0
144,Augusta National Golf Club,10,4,495,4.162,+.162,0,38,182,67,8,1
144,Dunes Golf and Beach Club,9,3,219,3.162,+.162,0,33,274,92,3,0
146,Quail Hollow Club,12,4,456,4.161,+.161,0,48,300,103,6,2
147,TPC San Antonio (Oaks Course),15,4,464,4.160,+.160,0,52,254,109,5,0
147,Muirfield Village Golf Club,1,4,490,4.160,+.160,0,28,164,61,4,0
149,Arnold Palmer's Bay Hill Club & Lodge,8,4,460,4.159,+.159,0,34,148,56,7,1
149,Quail Hollow Club,13,3,205,3.159,+.159,0,42,306,107,4,0
151,Waialae Country Club,13,4,477,4.158,+.158,0,37,297,98,4,0
151,East Lake Golf Club,15,3,215,3.158,+.158,0,19,76,13,11,1
153,Pebble Beach Golf Links,8,4,428,4.157,+.157,0,28,151,50,6,1
154,Torrey Pines Golf Course (North Course),15,3,202,3.156,+.156,0,20,88,35,4,0
154,Harbour Town Golf Links,3,4,469,4.156,+.156,0,23,204,54,7,0
156,Torrey Pines Golf Course (South Course),14,4,437,4.155,+.155,0,32,154,61,5,0
157,Torrey Pines Golf Course (South Course),1,4,451,4.154,+.154,0,40,174,72,5,1
157,Torrey Pines Golf Course (South Course),17,4,443,4.154,+.154,0,31,191,64,6,0
157,Arnold Palmer's Bay Hill Club & Lodge,11,4,438,4.154,+.154,0,37,153,41,12,3
157,Innisbrook Resort (Copperhead Course),13,3,200,3.154,+.154,0,56,296,95,8,5
161,Oakmont Country Club,5,4,408,4.153,+.153,0,55,286,88,11,4
162,Torrey Pines Golf Course (South Course),5,4,454,4.151,+.151,0,30,194,62,6,0
163,PGA National Resort (The Champion Course),15,3,179,3.149,+.149,0,63,274,54,30,3
163,Colonial Country Club,17,4,399,4.149,+.149,0,62,248,104,9,1
165,La Quinta Country Club,2,4,434,4.148,+.148,0,18,101,32,3,1
165,La Quinta Country Club,14,4,469,4.148,+.148,0,14,108,31,0,2
167,Dunes Golf and Beach Club,18,4,441,4.147,+.147,0,47,256,93,5,1
167,The Renaissance Club,1,4,464,4.147,+.147,1,57,287,118,5,0
169,Vidanta Vallarta,8,4,476,4.146,+.146,0,52,275,72,17,2
169,Silverado Resort (North Course),7,3,212,3.146,+.146,0,47,283,95,6,1
171,Torrey Pines Golf Course (South Course),7,4,462,4.143,+.143,0,24,173,50,5,0
172,Royal Portrush Golf Club,8,4,434,4.142,+.142,0,49,307,82,11,3
173,Augusta National Golf Club,12,3,155,3.139,+.139,0,40,190,53,12,1
173,Augusta National Golf Club,16,3,170,3.139,+.139,0,44,181,59,10,2
173,Puntacana Resort (Corales Golf Course),13,4,446,4.139,+.139,0,48,260,86,9,0
173,Quail Hollow Club,2,4,452,4.139,+.139,0,74,266,101,17,1
177,Spyglass Hill Golf Course,13,4,460,4.138,+.138,0,11,50,16,3,0
178,Nicklaus Tournament Course,8,3,172,3.136,+.136,0,23,98,22,11,0
179,Torrey Pines Golf Course (South Course),10,4,454,4.135,+.135,0,22,178,48,4,0
179,Innisbrook Resort (Copperhead Course),18,4,445,4.135,+.135,0,46,312,97,4,1
179,Yokohama Country Club,12,4,458,4.135,+.135,0,34,206,68,4,0
182,Torrey Pines Golf Course (South Course),14,4,437,4.134,+.134,0,39,188,53,11,1
182,El Cardonal at Diamante,4,4,483,4.134,+.134,0,56,249,64,18,2
184,East Lake Golf Club,16,4,460,4.133,+.133,0,20,73,21,3,3
185,Pete Dye Stadium Course,15,4,468,4.132,+.132,0,22,157,44,4,0
186,Pebble Beach Golf Links,5,3,195,3.131,+.131,0,30,149,53,4,0
187,Puntacana Resort (Corales Golf Course),2,3,239,3.129,+.129,1,35,278,89,0,0
188,Detroit Golf Club,11,3,233,3.128,+.128,0,41,347,89,7,0
188,The Renaissance Club,15,4,488,4.128,+.128,0,63,288,111,6,0
190,Pebble Beach Golf Links,17,3,178,3.127,+.127,0,20,168,46,2,0
190,PGA National Resort (The Champion Course),14,4,465,4.127,+.127,0,56,273,82,11,2
192,Hurstbourne Country Club (Championship Course),5,4,430,4.125,+.125,0,55,293,89,8,2
193,Waialae Country Club,2,4,423,4.124,+.124,1,45,295,89,6,0
193,Waialae Country Club,6,4,460,4.124,+.124,0,56,285,81,13,1
193,TPC San Antonio (Oaks Course),3,3,171,3.124,+.124,0,46,296,60,16,2
193,TPC Craig Ranch,10,4,491,4.124,+.124,0,47,303,99,2,0
193,Royal Portrush Golf Club,9,4,432,4.124,+.124,0,61,282,102,6,1
198,Torrey Pines Golf Course (South Course),16,3,227,3.123,+.123,0,31,164,52,5,0
199,Sea Island Golf Club (Plantation Course),11,3,216,3.122,+.122,0,9,122,23,1,1
200,TPC Craig Ranch,13,4,512,4.120,+.120,0,60,283,102,6,0
200,The Philadelphia Cricket Club (Wissahickon Course),16,3,215,3.120,+.120,0,34,189,52,8,0
200,TPC Southwind,7,4,482,4.120,+.120,0,29,187,58,2,0
200,Silverado Resort (North Course),11,3,189,3.120,+.120,0,49,293,80,9,1
204,Royal Portrush Golf Club,18,4,474,4.119,+.119,0,41,324,80,6,1
205,Arnold Palmer's Bay Hill Club & Lodge,9,4,480,4.118,+.118,0,35,153,52,6,0
205,Detroit Golf Club,12,4,489,4.118,+.118,0,46,343,87,8,0
207,Vidanta Vallarta,4,4,520,4.117,+.117,0,44,283,89,2,0
207,Muirfield Village Golf Club,16,3,218,3.117,+.117,0,39,160,48,9,1
209,Torrey Pines Golf Course (South Course),13,5,621,5.116,+.116,0,41,187,57,3,4
209,TPC Sawgrass (THE PLAYERS Stadium Course),6,4,413,4.116,+.116,0,66,260,94,11,0
209,Hurstbourne Country Club (Championship Course),13,3,186,3.116,+.116,0,43,315,86,1,2
212,Dunes Golf and Beach Club,5,3,216,3.114,+.114,0,43,274,81,4,0
213,Memorial Park Golf Course,7,3,216,3.113,+.113,0,50,307,73,12,1
213,Caves Valley Golf Club,13,3,245,3.113,+.113,0,17,144,29,5,0
213,The Country Club of Jackson,6,4,482,4.113,+.113,0,40,280,71,7,0
216,Plantation Course at Kapalua,1,4,520,4.111,+.111,0,17,178,38,1,1
216,TPC Scottsdale (Stadium Course),12,3,192,3.111,+.111,0,38,307,59,11,1
216,TPC Sawgrass (THE PLAYERS Stadium Course),17,3,141,3.111,+.111,0,69,281,53,22,6
216,The Country Club of Jackson,10,3,223,3.111,+.111,0,40,278,76,4,0
220,Detroit Golf Club,9,3,207,3.110,+.110,0,62,316,98,7,1
221,Silverado Resort (North Course),2,3,197,3.109,+.109,0,38,312,79,3,0
222,TPC River Highlands,12,4,411,4.108,+.108,0,38,185,44,9,2
223,Black Desert Resort,16,4,506,4.105,+.105,0,54,261,63,9,4
224,TPC Sawgrass (THE PLAYERS Stadium Course),13,3,183,3.104,+.104,1,53,292,70,15,0
224,Memorial Park Golf Course,11,3,237,3.104,+.104,0,41,318,81,3,0
226,La Quinta Country Club,12,3,202,3.103,+.103,0,13,115,25,2,0
226,Caves Valley Golf Club,18,4,470,4.103,+.103,0,29,127,30,8,1
228,Innisbrook Resort (Copperhead Course),2,4,435,4.102,+.102,0,70,290,85,13,2
229,TPC Scottsdale (Stadium Course),7,3,215,3.101,+.101,0,39,297,79,1,0
229,PGA National Resort (The Champion Course),2,4,464,4.101,+.101,0,40,309,68,6,1
229,Colonial Country Club,15,4,431,4.101,+.101,0,56,280,77,11,0
232,TPC San Antonio (Oaks Course),7,3,207,3.100,+.100,0,41,297,81,1,0
233,The Country Club of Jackson,16,4,479,4.098,+.098,0,62,253,67,14,2
234,PGA National Resort (The Champion Course),7,3,226,3.097,+.097,0,44,300,75,5,0
234,Muirfield Village Golf Club,9,4,417,4.097,+.097,0,39,167,40,9,2
234,Royal Portrush Golf Club,3,3,176,3.097,+.097,0,56,305,83,7,1
237,Waialae Country Club,11,3,194,3.096,+.096,0,44,315,69,7,1
237,Innisbrook Resort (Copperhead Course),7,4,420,4.096,+.096,0,55,317,78,9,1
237,Quail Hollow Club,5,4,449,4.096,+.096,0,51,318,85,5,0
240,Detroit Golf Club,6,4,461,4.095,+.095,0,49,345,86,3,1
240,Silverado Resort (North Course),3,4,424,4.095,+.095,0,59,285,78,8,2
242,TPC Scottsdale (Stadium Course),6,4,432,4.094,+.094,0,62,262,83,9,0
243,Pete Dye Stadium Course,3,4,471,4.093,+.093,0,22,166,35,4,0
243,Innisbrook Resort (Copperhead Course),6,4,465,4.093,+.093,0,62,301,89,8,0
243,Muirfield Village Golf Club,2,4,459,4.093,+.093,0,33,175,42,6,1
243,Yokohama Country Club,10,4,431,4.093,+.093,0,48,199,56,6,3
247,Colonial Country Club,12,4,457,4.092,+.092,0,50,290,79,5,0
247,Oakmont Country Club,11,4,400,4.092,+.092,0,65,286,82,9,2
247,Caves Valley Golf Club,6,3,220,3.092,+.092,0,14,152,26,3,0
250,Augusta National Golf Club,7,4,450,4.091,+.091,0,44,186,61,5,0
251,TPC San Antonio (Oaks Course),5,4,401,4.090,+.090,0,64,269,75,9,3
252,Torrey Pines Golf Course (South Course),10,4,454,4.089,+.089,0,45,181,61,5,0
253,Torrey Pines Golf Course (North Course),14,4,451,4.088,+.088,0,14,106,27,0,0
253,Spyglass Hill Golf Course,2,4,349,4.088,+.088,0,4,66,9,1,0
255,Puntacana Resort (Corales Golf Course),1,4,433,4.087,+.087,0,50,284,59,6,4
255,Dunes Golf and Beach Club,7,4,426,4.087,+.087,0,56,261,79,6,0
255,Caves Valley Golf Club,15,4,491,4.087,+.087,0,28,129,31,7,0
255,Yokohama Country Club,18,4,475,4.087,+.087,0,48,195,63,6,0
259,Arnold Palmer's Bay Hill Club & Lodge,1,4,461,4.085,+.085,0,39,157,43,4,3
260,Memorial Park Golf Course,15,3,155,3.084,+.084,0,54,314,61,13,1
261,PGA National Resort (The Champion Course),16,4,434,4.083,+.083,0,56,292,66,6,4
261,TPC River Highlands,16,3,171,3.083,+.083,0,32,199,40,6,1
261,East Lake Golf Club,4,4,465,4.083,+.083,0,12,89,16,3,0
264,Torrey Pines Golf Course (South Course),8,3,177,3.082,+.082,0,39,194,55,4,0
264,Caves Valley Golf Club,1,4,481,4.082,+.082,0,37,114,36,7,1
266,Arnold Palmer's Bay Hill Club & Lodge,7,3,199,3.081,+.081,0,22,184,38,2,0
267,TPC Southwind,17,4,505,4.080,+.080,0,45,171,53,7,0
268,Memorial Park Golf Course,4,4,490,4.079,+.079,0,43,324,74,2,0
268,Puntacana Resort (Corales Golf Course),16,4,461,4.079,+.079,0,41,293,65,4,0
270,The Philadelphia Cricket Club (Wissahickon Course),10,4,449,4.078,+.078,0,34,196,50,3,0
270,Colonial Country Club,3,4,475,4.078,+.078,0,47,301,73,2,1
272,La Quinta Country Club,3,3,202,3.077,+.077,0,10,128,13,3,1
272,Sedgefield Country Club,16,3,175,3.077,+.077,0,52,325,70,7,1
274,Harbour Town Golf Links,10,4,451,4.076,+.076,0,32,210,41,4,1
274,Silverado Resort (North Course),17,3,182,3.076,+.076,0,61,295,60,14,2
276,TPC Scottsdale (Stadium Course),14,4,490,4.075,+.075,0,50,292,68,5,1
276,Torrey Pines Golf Course (South Course),1,4,451,4.075,+.075,1,25,181,44,1,0
278,TPC Sawgrass (THE PLAYERS Stadium Course),15,4,470,4.074,+.074,0,57,299,62,12,1
278,Muirfield Village Golf Club,8,3,200,3.074,+.074,0,42,158,53,4,0
280,Harbour Town Golf Links,11,4,436,4.073,+.073,0,37,196,52,3,0
280,TPC Deere Run,12,3,215,3.073,+.073,0,57,298,77,6,0
280,TPC Twin Cities,3,4,501,4.073,+.073,0,65,306,86,5,1
283,Torrey Pines Golf Course (South Course),15,4,480,4.071,+.071,0,31,176,41,4,0
284,Innisbrook Resort (Copperhead Course),10,4,445,4.070,+.070,0,62,312,79,6,1
284,Oakmont Country Club,14,4,379,4.070,+.070,1,72,279,80,11,1
284,The Country Club of Jackson,4,3,181,3.070,+.070,2,46,276,70,4,0
287,Arnold Palmer's Bay Hill Club & Lodge,3,4,434,4.069,+.069,0,43,151,46,4,2
288,Memorial Park Golf Course,18,4,503,4.068,+.068,1,52,315,67,7,1
288,Colonial Country Club,14,4,456,4.068,+.068,0,45,308,68,3,0
288,TPC Toronto at Osprey Valley (North Course),11,3,225,3.068,+.068,0,88,276,49,25,6
288,Sedgefield Country Club,7,3,223,3.068,+.068,0,69,297,81,6,2
292,TPC Craig Ranch,16,4,492,4.067,+.067,0,45,335,67,4,0
293,Black Desert Resort,4,4,488,4.066,+.066,0,68,245,68,6,4
293,Sea Island Golf Club (Seaside Course),10,4,418,4.066,+.066,0,45,201,47,9,0
295,Nicklaus Tournament Course,3,3,192,3.065,+.065,0,15,115,23,1,0
295,Memorial Park Golf Course,6,4,443,4.065,+.065,0,54,314,67,8,0
297,Pebble Beach Golf Links,10,4,446,4.064,+.064,0,37,153,41,4,1
297,PGA National Resort (The Champion Course),5,3,217,3.064,+.064,0,49,312,51,11,1
297,Sedgefield Country Club,10,4,440,4.064,+.064,0,63,305,82,5,0
297,Sedgefield Country Club,6,4,423,4.064,+.064,0,68,303,74,8,2
297,Black Desert Resort,15,3,202,3.064,+.064,0,45,282,59,4,1
297,Sea Island Golf Club (Plantation Course),9,4,481,4.064,+.064,0,23,104,25,4,0
303,Spyglass Hill Golf Course,8,4,399,4.063,+.063,0,7,61,12,0,0
303,TPC Sawgrass (THE PLAYERS Stadium Course),4,4,387,4.063,+.063,0,90,247,74,17,3
303,TPC Toronto at Osprey Valley (North Course),10,4,416,4.063,+.063,0,81,280,67,11,5
306,Pete Dye Stadium Course,9,4,452,4.062,+.062,0,25,166,33,3,0
306,Pete Dye Stadium Course,10,4,405,4.062,+.062,2,27,158,35,5,0
306,Caves Valley Golf Club,14,4,469,4.062,+.062,0,29,127,37,2,0
309,TPC River Highlands,1,4,434,4.061,+.061,0,45,181,43,8,1
309,Yokohama Country Club,7,3,182,3.061,+.061,0,35,228,46,2,1
311,Royal Portrush Golf Club,13,3,199,3.060,+.060,1,55,318,72,6,0
312,TPC Toronto at Osprey Valley (North Course),7,3,237,3.059,+.059,0,46,330,64,4,0
312,El Cardonal at Diamante,15,4,462,4.059,+.059,0,87,230,50,16,6
314,Muirfield Village Golf Club,3,4,392,4.058,+.058,1,54,146,45,8,3
315,The Country Club of Jackson,7,3,214,3.055,+.055,0,37,303,57,1,0
316,TPC River Highlands,17,4,431,4.054,+.054,0,40,190,42,5,1
316,TPC Southwind,10,4,465,4.054,+.054,0,43,182,45,5,1
318,Silverado Resort (North Course),14,4,360,4.053,+.053,0,77,273,66,14,2
318,Port Royal Golf Course,12,4,383,4.053,+.053,1,46,269,58,5,0
320,Harbour Town Golf Links,4,3,200,3.052,+.052,0,30,221,29,8,0
321,Torrey Pines Golf Course (South Course),3,3,201,3.051,+.051,0,44,198,44,3,3
321,TPC Southwind,18,4,453,4.051,+.051,0,54,167,44,10,1
321,Caves Valley Golf Club,3,3,197,3.051,+.051,0,28,130,36,1,0
321,Caves Valley Golf Club,10,4,467,4.051,+.051,0,25,136,33,1,0
325,Waialae Country Club,15,4,398,4.050,+.050,0,53,315,61,7,0
325,Colonial Country Club,8,3,194,3.050,+.050,0,54,300,65,5,0
325,TPC River Highlands,5,3,223,3.050,+.050,0,27,211,39,1,0
325,TPC River Highlands,8,3,202,3.050,+.050,0,38,193,42,5,0
325,East Lake Golf Club,9,3,260,3.050,+.050,0,11,92,17,0,0
330,Harbour Town Golf Links,14,3,192,3.049,+.049,0,34,213,34,7,0
330,The Renaissance Club,12,3,204,3.049,+.049,0,45,358,62,3,0
332,Innisbrook Resort (Copperhead Course),17,3,215,3.048,+.048,2,55,325,75,3,0
