courseId,courseName,courseCode,tournamentId,courseParTotal,courseYardsTotal,hole,par,yards,scoringAverage,scoringAverageDiff,scoringDiffTendency,eagles,birdies,pars,bogeys,doubleBogey,rank,pinGreenLeftToRightCoords,pinGreenBottomToTopCoords
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,16,3,227,3.123,0.123,ABOVE,0,31,164,52,5,8,"(0.5428230898606147, 0.6856375740566889, -1.0)","(0.6856375740566889, 0.45717691013938533, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,17,4,443,3.988,-0.012,BELOW,1,52,155,39,4,11,"(0.5066789211727474, 0.24372874956730897, -1.0)","(0.24372874956730897, 0.4933210788272526, -1.0)"
939,Torrey Pines Golf Course (South Course),SC,R2025007,72,7765.0,18,5,570,4.56,-0.44,BELOW,6,122,104,17,3,17,"(0.4453681205983655, 0.6233457196902188, -1.0)","(0.6233457196902188, 0.5546318794016345, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,1,4,505,4.22,0.22,ABOVE,0,37,289,128,5,7,"(0.4495330015783407, 0.5189823226519428, -1.0)","(0.5189823226519428, 0.5504669984216592, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,2,4,452,4.139,0.139,ABOVE,0,74,266,101,17,11,"(0.49878131642442075, 0.4734667338455448, -1.0)","(0.4734667338455448, 0.5012186835755792, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,3,4,483,4.218,0.218,ABOVE,1,42,283,122,11,8,"(0.628625486243975, 0.5062115280156648, -1.0)","(0.5062115280156648, 0.37137451375602504, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,4,3,184,3.033,0.033,ABOVE,1,58,326,73,1,13,"(0.5871612616992228, 0.306712967443063, -1.0)","(0.306712967443063, 0.4128387383007772, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,5,4,449,4.096,0.096,ABOVE,0,51,318,85,5,12,"(0.4848750179662679, 0.2926033386624005, -1.0)","(0.2926033386624005, 0.515124982033732, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,6,3,249,3.281,0.281,ABOVE,1,20,298,130,9,4,"(0.5889536618559794, 0.5338005652479105, -1.0)","(0.5338005652479105, 0.4110463381440206, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,7,5,546,4.708,-0.292,BELOW,9,192,199,45,11,17,"(0.49813482909317086, 0.6895875792663682, -1.0)","(0.6895875792663682, 0.5018651709068291, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,8,4,346,3.778,-0.222,BELOW,5,153,248,45,8,14,"(0.548310282713929, 0.2039158570338759, -1.0)","(0.2039158570338759, 0.451689717286071, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,9,4,530,4.27,0.27,ABOVE,0,24,294,134,7,5,"(0.6034467522808539, 0.648837234579357, -1.0)","(0.648837234579357, 0.39655324771914613, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,10,5,592,4.734,-0.266,BELOW,4,166,239,48,2,15,"(0.5154980662572036, 0.33529448309398074, -1.0)","(0.33529448309398074, 0.4845019337427964, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,11,4,462,4.246,0.246,ABOVE,0,42,275,129,13,6,"(0.6218521879070606, 0.6224366488782325, -1.0)","(0.6224366488782325, 0.37814781209293935, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,12,4,456,4.161,0.161,ABOVE,0,48,300,103,6,9,"(0.42803958420021504, 0.5696662746677347, -1.0)","(0.5696662746677347, 0.571960415799785, -1.0)"
241,Quail Hollow Club,QH,R2025033,71,7626.0,13,3,205,3.159,0.159,ABOVE,0,42,306,107,4,10,"(0.5714804500076108, 0.40850429758343704, -1.0)","(0.40850429758343704, 0.42851954999238917, -1.0)"
