tournament,tournament_id,player,player_id,round,hole,shot_number,shot_dist,to_hole,location,par,hole_yardage
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,16,3,49 ft 5 in.,4 ft 6 in.,Left Green,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,16,4,4 ft 6 in.,0,In Hole,5,537
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,17,1,121 yds,22 ft 10 in.,Left Intermediate,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,17,2,23 ft 0 in.,5 in,Left Green,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,17,3,5 in,0,In Hole,3,141
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,18,1,282 yds,173 yds,Left Fairway,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,18,2,176 yds,17 ft 10 in.,Right Green,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,18,3,20 ft 11 in.,3 ft 7 in.,Right Green,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,2,18,4,3 ft 7 in.,0,In Hole,4,462
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,1,1,276 yds,153 yds,Right Rough,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,1,2,132 yds,65 ft 7 in.,Right Green,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,1,3,67 ft 6 in.,20 in,Left Green,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,1,4,20 in,0,In Hole,4,424
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,2,1,291 yds,265 yds,Right Intermediate,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,2,2,219 yds,56 yds,Left Rough,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,2,3,67 yds,31 ft 8 in.,Right Fairway,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,2,4,29 ft 6 in.,2 ft 2 in.,Right Green,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,2,5,2 ft 2 in.,0,In Hole,5,555
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,3,1,179 yds,31 ft 9 in.,Right Rough,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,3,2,40 ft 0 in.,8 ft 6 in.,Right Green,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,3,3,9 ft 0 in.,2 in,Right Green,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,3,4,2 in,0,In Hole,3,182
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,4,1,259 yds,137 yds,Left Fairway,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,4,2,124 yds,40 ft 7 in.,Left Green,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,4,3,44 ft 1 in.,3 ft 10 in.,Left Green,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,4,4,3 ft 10 in.,0,In Hole,4,387
THE PLAYERS Championship,R2025011,Charley Hoffman,12716,3,5,1,286 yds,176 yds,Left Fairway,4,469
